Sequence;ELA(N);Pop;Parent;Angles;Ann(N);Parameters Global;Eff Success;Eff Fail;Rig Success;Rig Fail;Rig Max; Rig Neightbors;Rig Neightbors Expression;Start;End;Time;Avarage Duration;Avarage Energy;Minimum Energy;Minimum Angles
1AGT(38);200;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397497626600;1397497635117;8.517;2.839;-11.046398407270184;-14.06571275379112;-5.12, -0.83, 0.02, 1.99, 0.02, 8.21, -1.08, 0.05, 1.08, -6.16, -0.11, 1.89, -0.04, -0.24, 4.35, -1, 0.51, 0.06, 0.01, 5.85, 1.87, -0.2, 5.9, -17.53, -0.72, 1.8, 1.18, -19.34, -6.65, -6.01, -19.72, -14.46, -4.41, 0.12, 1.98, -1.71, -9.56
1AGT(38);200;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;2;(5-n)/4;1397497635238;1397497643702;8.464;2.821;-12.666185142689885;-13.97311920050755;4.32, 5.28, -0.49, 0.8, 0, -4.36, 0, 0, 0, 1.83, -0.03, 6.3, 0.03, -0.23, 16.92, 5.25, 0.89, 1.33, -4.89, -0.11, 10.64, 32.01, -0.14, 6.08, -0.14, -4.34, -5.69, 0.95, -6.19, 5.96, 0.23, -0.33, 10.64, 0.44, 10.63, 0.16, 6.21
1AGT(38);100;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397517912421;1397517965746;53.325;1.778;-12.3276860897702;-16.224516216359127;-4.35, -1.96, -0.16, -1.93, 0.49, -1.54, 0.58, 8.21, 0.49, 4.35, 0.76, -1.95, -1.05, -5.26, 1.97, 0.14, 0.06, -1.2, -7.99, -0.43, -4.34, 6.15, 6.47, 0.12, 1.6, 4.33, 5.24, -0.03, -0.15, 23.87, 0.02, 0.73, 4.34, -0.14, -1.95, -23.42, 7.7
1AGT(38);200;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397517965905;1397518056480;90.575;3.019;-12.524396883180636;-16.26105650620843;10.71, 8.22, 0.42, 14.25, -0.21, 1.45, 5.3, -4.7, -0.03, 7.43, 0.01, 0.75, 0.5, 11.55, 4.31, -0.11, -0.46, -12.88, 5.6, 0.45, 8.21, -12.6, -0.3, -0.01, -1.22, -10.61, 7.33, -0.07, 6.32, -36.93, 0.47, 24.66, 1.94, 6.42, 1.95, -19.39, 44.92
1AGT(38);400;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397518056569;1397518223327;166.758;5.559;-12.885484464086865;-19.653986829152977;-4.3, -1.88, 0.03, -8.02, 0.31, -1.94, 1.05, 11.06, -24.14, 4.76, -5.83, 4.37, 6.67, -6.1, 1.88, -11.42, -13.67, -1.12, -1.54, 0.31, 1.99, -0.01, 6.56, -0.13, 50.74, 10.63, -7.36, -0.48, 12.79, -19.45, 6.22, 1.91, 4.38, 6.19, 4.32, 1.87, -54.37
1AGT(38);1000;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397518223429;1397518611154;387.725;12.924;-13.84775125655798;-18.694748547010974;0.04, 1.99, 0.03, -4.3, -1.8, 8.24, 12.02, -1.85, 0.25, 1.89, 0.93, -1.85, 0.01, 1.03, 14.53, 0.01, 0.04, 0.08, 12.44, 12.92, -12.7, -7.03, -11.15, 13.44, -20.31, -23.14, 38.6, 49.14, -43.91, 19.31, -5.81, 45.76, -14.51, -12.71, -14.51, -29.7, -5.87
1AGT(38);2000;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397518611280;1397519393023;781.743;26.058;-15.607105930913479;-20.847853611452084;10.6, -1, -6.26, 4.31, -24.14, -1.97, -5.93, -0.67, 0.34, -1.98, -4.88, -8.25, -12.49, 0.54, 39.67, 25.73, -0.17, -45.08, -45.5, -0.88, 0.56, -6.76, -23.56, -17.41, 12.24, -42.24, 17.47, 12.82, -30.55, 44.35, -6.34, 1.76, 67.24, -6.5, 35.76, 33.13, 32.56
1AGT(38);10000;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397519393200;1397523275527;3882.327;129.411;-17.481632646731853;-23.07143625601208;-6.54, 4.3, 0.91, -4.3, -0.67, 1.9, 11.51, -4.31, 5.41, 108.75, -14.37, 71.02, -13.42, 17.87, -23.19, -12.83, -18.84, -36.34, -4.65, 37.9, 23.18, 5.99, -19.12, -32.17, -45.72, 45.94, -17.81, -18.98, 74.46, -190.32, -6.7, 39.59, -8.16, 50.16, 35.72, -29.64, 140.37
F6(13);10000;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397523517446;1397524730176;1212.730;40.424;-3.126324997705674;-3.2712362405764384;-161.87, -11.06, -63.77, -17.31, 26.59, -51.65, 33.37, 55.05, -92.7, 39.16, -252.33, -197.86
F7(21);10000;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397525072118;1397525659083;586.965;58.697;-4.923968544327174;-5.891314060050682;24.44, -67.18, 56.12, -37.42, 6.21, 17.17, -48.37, 87.22, 0.2, -30.63, -17.06, -12.15, 0.21, 4.87, 8.18, 24.66, 144.93, 31.2, 42.23, 62.12
F6(13);10000;400;1;2;400;true;+2;-0.00001;+1;-0.000001;10;1;(5-n)/4;1397525985407;1397529939292;3953.885;79.078;-3.153597084855264;-3.1968831338749726;94.11, -43.05, -42.17, 44.31, 75.77, 43.49, 14.51, 29.99, -105.31, -218.41, 61.09, -29.74
F7(21);10000;400;1;2;400;true;+2;-0.00001;+1;-0.000001;10;1;(5-n)/4;1397529940402;1397536537956;6597.554;131.951;-4.861993321694826;-6.011214585763264;-50.8, -10.63, 125.09, 87.86, 6.65, -8.01, -16.9, 11.96, -37.7, -17.99, 14.35, -12.09, -31.27, -70.51, -29.49, 37.27, -0.2, 138.47, 17.71, -5.63
F8(34);10000;400;1;2;400;true;+2;-0.00001;+1;-0.000001;10;1;(5-n)/4;1397536538886;1397548715890;12177.004;243.540;-7.459231318478703;-9.208205361472306;-12.24, -45.05, -8.08, -6.54, 5.8, 69.62, 4.35, 33.13, -43.94, 5.79, 20.39, 6.3, 18.31, -6.48, -1.92, -0.56, -44.05, 6.04, -11.89, 10.64, 0.26, -12.36, -25.17, 152.63, 37.92, -12.92, 150.42, -96.2, 75.07, 87.52, -50.33, -42.4, -159.8
1AGT(38);200;200;1;2;200;true;+2;-0.000001;+1;-0.00001;10;1;(5-n)/4;1397563787513;1397563796087;8.574;2.858;-14.649655950990699;-15.534751134355204;-10.733790550834089, 7.487287589463718, -0.0027941140606267878, 1.7742733602132559, -0.6582012463958041, 4.428766259999452, -12.997840129832072, -12.794105731626447, -0.043115645767929284, -1.9442095178246315, -0.018116363860219108, -4.386303197406262, 0.4107960131141335, 6.038037762973821, -1.8685798888003486, -1.125886571467646, 0.5499450633976964, -6.334080195320448, -13.13588808929869, 0.03948506594616601, -18.797625979502637, 6.521902793314913, 0.020657287047128572, 12.431826846982677, -1.7407995361024295, -10.642055214877754, -5.18969199623783, 5.628689635947256, -1.0316851513290373, 11.223248842145741, -0.7060666927993428, 8.152510975776224, 4.390780937226511, 6.115603774926419, -8.243944478520845, -4.498261967865139, 17.76740434003041
